Unique ID,feature_name,Honorees,City,County,State,Side,Latitude,Longitude,Symbol Type,Symbol Type Other,Sponsors,Year Dedicated,Year Removed,Tracking Status,Private Property,Symbol Location,Removal Date
5053,Comal County Confederate Monument,No specific honoree,New Braunfels,Comal,TX,Not Applicable,29.703149,-98.124477,Monument,,Unknown,,,Live,0,,
5054,Jefferson Davis Highway,Jefferson Davis,Elgin,Bastrop,TX,Not Applicable,30.353428,-97.375312,Monument,,Unknown,1937,,Live,0,,
5055,Bankhead Train Station (MARTA),John Hollis Bankhead,Atlanta,Fulton,GA,Not Applicable,33.7725,-84.42915,Other,Other,Metropolitan Atlanta Rapid Transit Authority (MARTA),1992,,Live,0,,
5056,Ashby Train Station (MARTA),"Turner Ashby, Jr.",Atlanta,Fulton,GA,Not Applicable,33.75647278,-84.41693263,Other,Other,Metropolitan Atlanta Rapid Transit Authority (MARTA),,,Live,0,,
5063,General Adams,No specific honoree,Franklin,Williamson,TN,Not Applicable,35.916657,-86.873226,Other,Marker,Unknown,1970,,Live,0,,
5064,General Strahl,No specific honoree,Franklin,Williamson,TN,Not Applicable,35.91682,-86.87328,Other,Marker,Unknown,1970,,Live,0,,
5065,General Granbury,No specific honoree,Franklin,Williamson,TN,Not Applicable,35.917743,-86.873027,Other,Marker,Unknown,1970,,Live,0,,
5062,General Cleburne,No specific honoree,Franklin,Williamson,TN,Not Applicable,35.915494,-86.873097,Other,Marker,Unknown,1970,,Live,0,,
5059,General Gist,No specific honoree,Franklin,Williamson,TN,Not Applicable,35.91582,-86.87358,Other,Marker,Unknown,1970,,Live,0,,
5069,Venable Street,No specific honoree,Stone Mountain,DeKalb,GA,Not Applicable,33.804221,-84.166062,Roadway,,Unknown,,,Live,0,,
5061,General Carter,No specific honoree,Franklin,Williamson,TN,Not Applicable,35.915525,-86.873596,Other,Marker,Unknown,1970,,Live,0,,
209,Confederate Monument,No specific honoree,Perry,Taylor,FL,South,30.136783,-83.60445,Monument,,Sons of Confederate Veterans,2007,,Live,0,,
183,North Jeff Davis Avenue,Jefferson Davis,Perry,Taylor,FL,South,30.119028,-83.578349,Roadway,,Unknown,,,Live,0,,
223,Confederate Oak,No specific honoree,Port Orange,Volusia,FL,South,29.141516,-81.006682,Other,Other,Unknown,,,Live,0,,
2104,Stonewall Jackson Memorial Highway Marker,"Thomas Jonathan ""Stonewall"" Jackson",St. Petersburg,Pinellas,FL,South,30.411733,-83.911133,Other,Marker,United Daughters of the Confederacy,1940,,Live,0,,
211,Confederate Monument,No specific honoree,St. Cloud,Osceola,FL,South,28.245614,-81.282962,Monument,,Sons of Confederate Veterans,2006,,Live,0,,
187,Robert Lee Road,Robert E. Lee,St. Cloud,Osceola,FL,South,28.194564,-81.173562,Roadway,,Unknown,,,Live,0,,
3005,Southeast Jackson Drive,"Thomas Jonathan ""Stonewall"" Jackson",Stuart,Martin,FL,South,27.152457,-80.17478,Roadway,,Unknown,,,Live,0,,
197,Confederate Memorial Day,No specific honoree,Tallahassee,Leon,FL,South,30.437754,-84.282014,Other,Holiday,State of Florida,1895,,Live,0,,
180,Bradford County,Richard Bradford,Starke,Bradford,FL,South,29.961379,-82.15007,County/Municipality,,Unknown,1861,,Live,0,,
190,Southeast General Lee Terrace,Robert E. Lee,Stuart,Martin,FL,South,27.151992,-80.173694,Roadway,,Unknown,,,Live,0,,
217,Confederate Monument,No specific honoree,Monticello,Jefferson,FL,South,30.5454,-83.87015,Monument,,Ladies Memorial Association of Jefferson County,1899,,Live,0,Courthouse grounds,
2112,Lee Memorial Hospital,Robert E. Lee,Fort Myers,Lee,FL,South,26.628217,-81.8736,Building,,United Daughters of the Confederacy,1916,,Live,0,,
1947,Confederate Flag Display,No specific honoree,Ocala,Marion,FL,South,29.184359,-82.099992,Other,Flag,Unknown,,,Live,0,Government Office Grounds,
