PARCELSIZE,BLDGSIZE,BLDGTOTVAL,AGE_2014,X_COORD,Y_COORD,SITEADDR,TLID,FIPS,DEMOLISHED,WSAddr,WScore,WSDesc,TScore,TSDesc,Total.Pop,Pop.Density,Median.Hhld.Income,Pct.White.Alone,Pct.Black.Alone,Pct.Asian.Alone,Pct.Renter.Occ,Median.Year.Built,Median.Gross.Rent.Pct.Inc,BLDGSIZE.thous,PARCELSIZE.sqft,COVERAGE
0.36259122,1228,0.4096856670175966,66,7637286,651675,12743 SW 22ND AVE,1S1E33CC  -03900,410510064022,1,12743 SW 22ND AVE,44,Car-Dependent,26,Some Transit,2735,2003.253,120163,89.50639853747715,0,4.16819012797075,7.979274611398964,1979,26.799999239999998,1.228,8.323949035812672e-6,147526131.4932005
3.96747338,7342,0.3727598566308244,76,7640138,651823,1050 SW ENGLEWOOD DR,1S1E33DC  -01100,410510064022,1,1050 SW ENGLEWOOD DR,9,Car-Dependent,22,Minimal Transit,2735,2003.253,120163,89.50639853747715,0,4.16819012797075,7.979274611398964,1979,26.799999239999998,7.342,9.108065610651974e-5,80609871.66598204
0.82759587,2848,0.27524667198642194,66,7647874,652501,01897 SW GREENWOOD RD,1S1E35CB  -02701,410510063002,1,01897 SW GREENWOOD RD,7,Car-Dependent,31,Some Transit,1760,1270.712,171875,84.7159090909091,0.17045454545454544,6.534090909090909,6.25,1972,10,2.848,1.8998986914600553e-5,149902729.69825235
0.47505025,1098,0.45659526493799324,71,7627153,652814,12461 SW LESSER RD,1S1E31CC  -04400,410510064042,1,12461 SW LESSER RD,27,Car-Dependent,37,Some Transit,1702,2445.276,59089,87.36780258519389,0,7.226792009400705,45.06892895015906,1981,40.29999924,1.098,1.0905653122130395e-5,100681727.88036634
1.03607378,1761,0.4820163866129704,63,7647264,652787,12203 SW TRYON HILL RD,1S1E34DA  -03300,410510063002,1,12203 SW TRYON HILL RD,6,Car-Dependent,29,Some Transit,1760,1270.712,171875,84.7159090909091,0.17045454545454544,6.534090909090909,6.25,1972,10,1.761,2.3784981175390265e-5,74038318.00472742
1.00518341,2098,0.3376702501916236,69,7627276,653234,6122 SW HAINES ST,1S1E31CC  -00200,410510064042,1,6122 SW HAINES ST,34,Car-Dependent,38,Some Transit,1702,2445.276,59089,87.36780258519389,0,7.226792009400705,45.06892895015906,1981,40.29999924,2.098,2.3075835858585863e-5,90917616.71633635
0.88732608,5906,0.5555614111364365,7,7649148,653520,11924 SW BREYMAN AVE,1S1E35CA  -02100,410510063002,1,11924 SW BREYMAN AVE,10,Car-Dependent,45,Some Transit,1760,1270.712,171875,84.7159090909091,0.17045454545454544,6.534090909090909,6.25,1972,10,5.906,2.037020385674931e-5,289933279.09397185
0.94664399,2270,0.3154265554842848,59,7634266,653756,12055 SW 34TH AVE,1S1E32DB  -13200,410510064041,1,12055 SW 34TH AVE,12,Car-Dependent,28,Some Transit,1640,4310.4,102917,80.73170731707317,3.4756097560975614,10.670731707317072,27.599486521181,1982,24.89999962,2.27,2.17319556932966e-5,104454473.95699413
0.68351616,5146,0.4930700009905441,6,7647141,653923,01636 SW MILITARY RD,1S1E34AD  -00700,410510063002,1,01636 SW MILITARY RD,6,Car-Dependent,29,Some Transit,1760,1270.712,171875,84.7159090909091,0.17045454545454544,6.534090909090909,6.25,1972,10,5.146,1.569137190082645e-5,327950929.49960387
1.11735604,10916,0.6216426506373338,7,7646883,654076,01500 SW MILITARY RD,1S1E34AD  -00900,410510063002,1,01500 SW MILITARY RD,7,Car-Dependent,29,Some Transit,1760,1270.712,171875,84.7159090909091,0.17045454545454544,6.534090909090909,6.25,1972,10,10.916,2.5650965105601468e-5,425559036.67017365
0.22225836,1396,0.4069041498347411,27,7636567,654190,2614 SW STEPHENSON ST,1S1E32DA  -01100,410510064022,1,2614 SW STEPHENSON ST,17,Car-Dependent,20,Minimal Transit,2735,2003.253,120163,89.50639853747715,0,4.16819012797075,7.979274611398964,1979,26.799999239999998,1.396,5.102349862258953e-6,273599427.2611388
1.00714143,1866,0.4955081791364977,66,7639996,654747,1061 SW STEPHENSON CT,1S1E33AC  -02500,410510064022,1,1061 SW STEPHENSON CT,5,Car-Dependent,15,Minimal Transit,2735,2003.253,120163,89.50639853747715,0,4.16819012797075,7.979274611398964,1979,26.799999239999998,1.866,2.3120785812672174e-5,80706599.46935159
1.01650459,3057,0.246052864999113,51,7646964,654842,01510 SW BUDDINGTON ST,1S1E34AD  -01400,410510063002,1,01510 SW BUDDINGTON ST,4,Car-Dependent,29,Some Transit,1760,1270.712,171875,84.7159090909091,0.17045454545454544,6.534090909090909,6.25,1972,10,3.057,2.3335734389348026e-5,131000805.4169239
1.0309647,3470,0.5357925129430505,62,7649401,655187,02473 SW MILITARY RD,1S1E35BD  -02500,410510063001,1,02473 SW MILITARY RD,18,Car-Dependent,50,Good Transit,1949,1475.407,113333,83.53001539250899,0.5643919958953308,5.797845048742945,17.429577464788732,1953,43.29999924,3.47,2.3667692837465563e-5,146613361.25281498
0.11506144,951,0.4049970373296465,64,7631711,655358,4431 SW CORONADO ST,1S1E32BC  -08900,410510064031,1,4431 SW CORONADO ST,46,Car-Dependent,39,Some Transit,758,3730.184,91442,93.66754617414247,0,4.221635883905013,9.014084507042254,1982,37.5,0.951,2.641447199265381e-6,360029910.97625756
