PARCELSIZE,BLDGSIZE,BLDGTOTVAL,AGE_2014,X_COORD,Y_COORD,SITEADDR,TLID,FIPS,DEMOLISHED,WSAddr,WScore,WSDesc,TScore,TSDesc,Total.Pop,Pop.Density,Median.Hhld.Income,Pct.White.Alone,Pct.Black.Alone,Pct.Asian.Alone,Pct.Renter.Occ,Median.Year.Built,Median.Gross.Rent.Pct.Inc,BLDGSIZE.thous,PARCELSIZE.sqft,COVERAGE
2.14398811,4038,0.3863964083736437,73,7640609,652606,975 SW ENGLEWOOD DR,1S1E33DC  -00100,410510064022,1,975 SW ENGLEWOOD DR,4,Car-Dependent,15,Minimal Transit,2735,2003.253,120163,89.50639853747715,0,4.16819012797075,7.979274611398964,1979,26.799999239999998,4.038,4.9219194444444444e-5,82041163.9316414
1.87874999,1364,0.1780801937017751,60,7637296,652939,12434 SW ORCHARD HILL RD,1S1E33CB  -03000,410510064022,1,12434 SW ORCHARD HILL RD,41,Car-Dependent,23,Minimal Transit,2735,2003.253,120163,89.50639853747715,0,4.16819012797075,7.979274611398964,1979,26.799999239999998,1.364,4.313016505968779e-5,31625197.773121476
2.74281965,2548,0.35531855885838187,68,7641177,656416,10930 SW BOONES FERRY RD,1S1E33AA  -02900,410510063002,1,10930 SW BOONES FERRY RD,11,Car-Dependent,19,Minimal Transit,1760,1270.712,171875,84.7159090909091,0.17045454545454544,6.534090909090909,6.25,1972,10,2.548,6.296647497704316e-5,40465978.14041474
0.71788509,1965,0.4338248680138358,61,7632573,657485,10645 SW 41ST AVE,1S1E29CC  -08600,410510064032,1,10645 SW 41ST AVE,57,Somewhat Walkable,40,Some Transit,2337,6993.4,57212,73.72700042789901,18.185708172871202,5.0919982884039365,48.79120879120879,1978,33.40000153,1.965,1.648037396694215e-5,119232731.24393767
0.1147418,936,0.3664151673437802,109,7650001,661252,1345 SE MARION ST,1S1E26BA  -03300,410510001004,1,1345 SE MARION ST,89,Very Walkable,41,Some Transit,1139,9797.95,50147,92.8884986830553,0,5.092186128182616,64.96212121212122,1942,27.5,0.936,2.63410927456382e-6,355338333.54540366
0.40767496,1724,0.3753992825200256,87,7670133,661919,8703 SE HARNEY ST,1S2E21CD  -06500,410510089022,1,8703 SE HARNEY ST,58,Somewhat Walkable,48,Some Transit,1002,4633.36,23125,60.97804391217565,3.6926147704590817,4.491017964071856,75.36534446764091,1974,49.5,1.724,9.358929292929293e-6,184209106.19577911
0.17242332,816,0.4840597566610196,35,7658725,662188,4305 SE HARNEY ST,1S2E19CC  -06000,410510003024,1,4305 SE HARNEY ST,57,Somewhat Walkable,39,Some Transit,1472,3354.03,91354,98.36956521739131,0,0,14.423076923076922,1939,50,0.816,3.9582947658402205e-6,206149377.01002392
0.20174022,1248,0.23010593742301058,30,7659004,662322,4407 SE UMATILLA ST,1S2E19CC  -01700,410510003024,1,4407 SE UMATILLA ST,57,Somewhat Walkable,39,Some Transit,1472,3354.03,91354,98.36956521739131,0,0,14.423076923076922,1939,50,1.248,4.631318181818182e-6,269469717.04501957
0.43127202,1675,0.6026956346811507,65,7670283,662337,8728 SE CRYSTAL SPRINGS BLVD,1S2E21CD  -06205,410510089022,1,8728 SE CRYSTAL SPRINGS BLVD,47,Car-Dependent,49,Some Transit,1002,4633.36,23125,60.97804391217565,3.6926147704590817,4.491017964071856,75.36534446764091,1974,49.5,1.675,9.900643250688705e-6,169180926.69216055
0.11479547,728,0.37165124208475403,67,7663953,662379,6337 SE TENINO ST,1S2E20CC  -02200,410510088002,1,6337 SE TENINO ST,47,Car-Dependent,33,Some Transit,1813,10198.77,50784,77.93712079426365,0.882515168229454,12.079426365140652,30.246913580246915,1963,38,0.728,2.6353413682277317e-6,276245046.9517656
