GeoType,GeogName,GeoID,Borough,Pop_1E,Pop65pl1E,Pop65pl1C,MdAgeE
NTA2010,Bath Beach,BK27,Brooklyn,"33,163","4,888",4.7,38.3
NTA2010,Bay Ridge,BK31,Brooklyn,"79,134","12,380",2.9,39.5
NTA2010,Bedford,BK75,Brooklyn,"75,318","5,816",4.7,29.1
NTA2010,Bensonhurst East,BK29,Brooklyn,"64,267","10,107",3.3,39.6
NTA2010,Bensonhurst West,BK28,Brooklyn,"91,646","13,071",3.0,37.8
NTA2010,Borough Park,BK88,Brooklyn,"105,913","10,746",3.5,25.6
NTA2010,Brighton Beach,BK19,Brooklyn,"34,157","7,804",3.9,44.3
NTA2010,Brooklyn Heights-Cobble Hill,BK09,Brooklyn,"24,140","3,214",6.1,37.2
NTA2010,Brownsville,BK81,Brooklyn,"60,124","6,348",4.9,32.1
NTA2010,Bushwick North,BK77,Brooklyn,"60,834","3,846",5.7,30.1
NTA2010,Bushwick South,BK78,Brooklyn,"75,003","7,495",4.3,31.1
NTA2010,Canarsie,BK50,Brooklyn,"88,367","10,327",3.2,37.1
NTA2010,Carroll Gardens-Columbia Street-Red Hook,BK33,Brooklyn,"42,463","4,538",6.1,36.5
NTA2010,Clinton Hill,BK69,Brooklyn,"38,655","3,803",5.6,33.1
NTA2010,Crown Heights North,BK61,Brooklyn,"107,134","11,439",3.2,33.7
NTA2010,Crown Heights South,BK63,Brooklyn,"41,962","4,758",4.7,32.3
NTA2010,Cypress Hills-City Line,BK83,Brooklyn,"48,899","3,710",5.3,32.6
NTA2010,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,Brooklyn,"42,245","3,788",5.2,34.1
NTA2010,Dyker Heights,BK30,Brooklyn,"45,877","6,783",3.9,38.9
NTA2010,East Flatbush-Farragut,BK91,Brooklyn,"53,535","8,278",3.1,39.1
NTA2010,East New York,BK82,Brooklyn,"94,448","8,989",4.0,32.3
NTA2010,East New York (Pennsylvania Ave),BK85,Brooklyn,"29,447","2,272",7.2,31.0
NTA2010,East Williamsburg,BK90,Brooklyn,"35,985","4,546",5.5,34.2
NTA2010,Erasmus,BK95,Brooklyn,"29,149","3,683",5.1,34.6
NTA2010,Flatbush,BK42,Brooklyn,"108,653","11,702",3.0,34.3
NTA2010,Flatlands,BK58,Brooklyn,"72,540","9,671",3.1,37.5
NTA2010,Fort Greene,BK68,Brooklyn,"30,288","3,805",5.4,35.7
NTA2010,Georgetown-Marine Park-Bergen Beach-Mill Basin,BK45,Brooklyn,"47,997","7,735",3.2,40.4
NTA2010,Gravesend,BK26,Brooklyn,"30,288","5,523",4.3,40.4
NTA2010,Greenpoint,BK76,Brooklyn,"33,351","3,240",6.0,34.7
NTA2010,Homecrest,BK25,Brooklyn,"44,516","6,342",3.8,33.6
NTA2010,Kensington-Ocean Parkway,BK41,Brooklyn,"37,676","4,009",4.9,32.8
NTA2010,Madison,BK44,Brooklyn,"40,122","6,984",3.2,41.5
NTA2010,Midwood,BK43,Brooklyn,"53,377","7,954",3.0,34.6
NTA2010,North Side-South Side,BK73,Brooklyn,"54,330","3,761",6.8,32.2
NTA2010,Ocean Hill,BK79,Brooklyn,"34,025","3,569",5.7,32.7
NTA2010,Ocean Parkway South,BK46,Brooklyn,"21,253","2,939",4.4,31.2
NTA2010,Park Slope-Gowanus,BK37,Brooklyn,"73,881","6,683",4.5,35.4
NTA2010,park-cemetery-etc-Brooklyn,BK99,Brooklyn,375,5,85.1,35.9
NTA2010,Prospect Heights,BK64,Brooklyn,"20,493","2,105",8.5,36.2
NTA2010,Prospect Lefferts Gardens-Wingate,BK60,Brooklyn,"69,363","9,771",3.8,36.0
NTA2010,Rugby-Remsen Village,BK96,Brooklyn,"55,951","8,034",3.9,38.7
NTA2010,Seagate-Coney Island,BK21,Brooklyn,"29,677","5,717",4.6,39.8
NTA2010,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,Brooklyn,"66,293","12,695",3.2,43.7
NTA2010,Starrett City,BK93,Brooklyn,"12,388","3,607",5.7,48.7
NTA2010,Stuyvesant Heights,BK35,Brooklyn,"67,371","7,490",4.2,33.2
NTA2010,Sunset Park East,BK34,Brooklyn,"71,850","5,813",4.8,32.6
NTA2010,Sunset Park West,BK32,Brooklyn,"57,377","5,085",4.9,32.8
NTA2010,West Brighton,BK23,Brooklyn,"15,754","5,559",4.1,57.8
NTA2010,Williamsburg,BK72,Brooklyn,"33,767","2,557",6.3,19.3
NTA2010,Windsor Terrace,BK40,Brooklyn,"22,031","2,591",5.9,37.5
NTA2010,Battery Park City-Lower Manhattan,MN25,Manhattan,"45,737","2,735",6.8,32.7
NTA2010,Central Harlem North-Polo Grounds,MN03,Manhattan,"85,872","8,238",4.3,33.7
NTA2010,Central Harlem South,MN11,Manhattan,"50,095","4,447",5.5,34.8
NTA2010,Chinatown,MN27,Manhattan,"44,898","7,621",4.8,40.0
