Date,Winner,Winner Pts,Loser,Loser Pts,super_bowl_number,super_bowl,network,average_viewers,household_rating,household_share,cost_of_30_second_ad_usd,tom_brady,actual_date,WinnerMktSize,LoserMktSize
Feb 2 2020,Kansas City Chiefs,31,San Francisco 49ers,20,54,LIV,Fox,101320000,41.6,69,5400000,FALSE,2020-02-02,990000,2700000
Feb 3 2019,New England Patriots,13,Los Angeles Rams,3,53,LIII,CBS,98480000,41.1,67,5199916,FALSE,2019-02-03,2500000,5700000
Feb 4 2018,Philadelphia Eagles,41,New England Patriots,33,52,LII,NBC,103470000,43.1,68,5235379,TRUE,2018-02-04,3000000,2500000
Feb 5 2017,New England Patriots,34,Atlanta Falcons,28,51,LI,Fox,111320000,45.3,70,5399873,TRUE,2017-02-05,2500000,2700000
Feb 7 2016,Denver Broncos,24,Carolina Panthers,10,50,L,CBS,111860000,46.6,72,4800000,TRUE,2016-02-07,1800000,1300000
Feb 1 2015,New England Patriots,28,Seattle Seahawks,24,49,XLIX,NBC,114440000,47.5,71,4283129,FALSE,2015-02-01,2500000,2100000
Feb 2 2014,Seattle Seahawks,43,Denver Broncos,8,48,XLVIII,Fox,112190000,46.7,69,4084864,TRUE,2014-02-02,2100000,1800000
Feb 3 2013,Baltimore Ravens,34,San Francisco 49ers,31,47,XLVII,CBS,108690000,46.4,69,3765130,FALSE,2013-02-03,1100000,2700000
Feb 5 2012,New York Giants,21,New England Patriots,17,46,XLVI,NBC,111350000,47,71,3442752,FALSE,2012-02-05,7500000,2500000
Feb 6 2011,Green Bay Packers,31,Pittsburgh Steelers,25,45,XLV,Fox,111040000,46,69,2948649,TRUE,2011-02-06,920000,1200000
Feb 7 2010,New Orleans Saints,31,Indianapolis Colts,17,44,XLIV,CBS,106480000,45,68,2800000,FALSE,2010-02-07,660000,1200000
Feb 1 2009,Pittsburgh Steelers,27,Arizona Cardinals,23,43,XLIII,NBC,98730000,42,64,3000000,FALSE,2009-02-01,1200000,2200000
Feb 3 2008,New York Giants,17,New England Patriots,14,42,XLII,Fox,97450000,43.1,65,2699963,FALSE,2008-02-03,7500000,2500000
Feb 4 2007,Indianapolis Colts,29,Chicago Bears,17,41,XLI,CBS,93180000,42.6,64,2385365,TRUE,2007-02-04,1200000,3500000
Feb 5 2006,Pittsburgh Steelers,21,Seattle Seahawks,10,40,XL,ABC,90750000,41.6,62,2500000,FALSE,2006-02-05,1200000,2100000
Feb 6 2005,New England Patriots,24,Philadelphia Eagles,21,39,XXXIX,Fox,86070000,41.1,62,2400000,FALSE,2005-02-06,2500000,3000000
Feb 1 2004,New England Patriots,32,Carolina Panthers,29,38,XXXVIII,CBS,89800000,41.4,63,2302200,TRUE,2004-02-01,2500000,1300000
Jan 26 2003,Tampa Bay Buccaneers,48,Oakland Raiders,21,37,XXXVII,ABC,88640000,40.7,61,2200000,TRUE,2003-01-26,2000000,830000
Feb 3 2002,New England Patriots,20,St. Louis Rams,17,36,XXXVI,Fox,86800000,40.4,61,2200000,FALSE,2002-02-03,2500000,1120000
Jan 28 2001,Baltimore Ravens,34,New York Giants,7,35,XXXV,CBS,84340000,40.4,61,2200000,TRUE,2001-01-28,1100000,7500000
Jan 30 2000,St. Louis Rams,23,Tennessee Titans,16,34,XXXIV,ABC,88470000,43.3,63,2100000,FALSE,2000-01-30,1120000,1100000
Jan 31 1999,Denver Broncos,34,Atlanta Falcons,19,33,XXXIII,Fox,83720000,40.2,61,1600000,FALSE,1999-01-31,1800000,2700000
Jan 25 1998,Denver Broncos,31,Green Bay Packers,24,32,XXXII,NBC,90000000,44.5,67,1291100,FALSE,1998-01-25,1800000,920000
Jan 26 1997,Green Bay Packers,35,New England Patriots,21,31,XXXI,Fox,87870000,43.3,65,1200000,FALSE,1997-01-26,920000,2500000
Jan 28 1996,Dallas Cowboys,27,Pittsburgh Steelers,17,30,XXX,NBC,94080000,46,68,1085000,FALSE,1996-01-28,3000000,1200000
Jan 29 1995,San Francisco 49ers,49,San Diego Chargers,26,29,XXIX,ABC,83420000,41.3,62,1150000,FALSE,1995-01-29,2700000,5700000
Jan 30 1994,Dallas Cowboys,30,Buffalo Bills,13,28,XXVIII,NBC,90000000,45.5,66,900000,FALSE,1994-01-30,3000000,610000
Jan 31 1993,Dallas Cowboys,52,Buffalo Bills,17,27,XXVII,NBC,90990000,45.1,66,850000,FALSE,1993-01-31,3000000,610000
Jan 26 1992,Washington Redskins,37,Buffalo Bills,24,26,XXVI,CBS,79590000,40.3,61,850000,FALSE,1992-01-26,2600000,610000
Jan 27 1991,New York Giants,20,Buffalo Bills,19,25,XXV,ABC,79510000,41.9,63,800000,FALSE,1991-01-27,7500000,610000
Jan 28 1990,San Francisco 49ers,55,Denver Broncos,10,24,XXIV,CBS,73850000,39,63,700400,FALSE,1990-01-28,2700000,1800000
Jan 22 1989,San Francisco 49ers,20,Cincinnati Bengals,16,23,XXIII,NBC,81590000,43.5,68,675000,FALSE,1989-01-22,2700000,930000
Jan 31 1988,Washington Redskins,42,Denver Broncos,10,22,XXII,ABC,80140000,41.9,62,645000,FALSE,1988-01-31,2600000,1800000
Jan 25 1987,New York Giants,39,Denver Broncos,20,21,XXI,CBS,87190000,45.8,66,600000,FALSE,1987-01-25,7500000,1800000
Jan 26 1986,Chicago Bears,46,New England Patriots,10,20,XX,NBC,92570000,48.3,70,550000,FALSE,1986-01-26,3500000,2500000
Jan 20 1985,San Francisco 49ers,38,Miami Dolphins,16,19,XIX,ABC,85530000,46.4,63,525000,FALSE,1985-01-20,2700000,1700000
Jan 22 1984,Los Angeles Raiders,38,Washington Redskins,9,18,XVIII,CBS,77620000,46.4,71,368200,FALSE,1984-01-22,830000,2600000
Jan 30 1983,Washington Redskins,27,Miami Dolphins,17,17,XVII,NBC,81770000,48.6,69,400000,FALSE,1983-01-30,2600000,1700000
Jan 24 1982,San Francisco 49ers,26,Cincinnati Bengals,21,16,XVI,CBS,85240000,49.1,73,324300,FALSE,1982-01-24,2700000,930000
Jan 25 1981,Oakland Raiders,27,Philadelphia Eagles,10,15,XV,NBC,68290000,44.4,63,275000,FALSE,1981-01-25,830000,3000000
Jan 20 1980,Pittsburgh Steelers,31,Los Angeles Rams,19,14,XIV,CBS,76240000,46.3,67,222000,FALSE,1980-01-20,1200000,5700000
Jan 21 1979,Pittsburgh Steelers,35,Dallas Cowboys,31,13,XIII,NBC,74740000,47.1,74,185000,FALSE,1979-01-21,1200000,3000000
Jan 15 1978,Dallas Cowboys,27,Denver Broncos,10,12,XII,CBS,78940000,47.2,67,162300,FALSE,1978-01-15,3000000,1800000
Jan 9 1977,Oakland Raiders,32,Minnesota Vikings,14,11,XI,NBC,62050000,44.4,73,125000,FALSE,1977-01-09,830000,1900000
Jan 18 1976,Pittsburgh Steelers,21,Dallas Cowboys,17,10,X,CBS,57710000,42.3,78,110000,FALSE,1976-01-18,1200000,3000000
Jan 12 1975,Pittsburgh Steelers,16,Minnesota Vikings,6,9,IX,NBC,56050000,42.4,72,107000,FALSE,1975-01-12,1200000,1900000
Jan 13 1974,Miami Dolphins,24,Minnesota Vikings,7,8,VIII,CBS,51700000,41.6,73,103500,FALSE,1974-01-13,1700000,1900000
Jan 14 1973,Miami Dolphins,14,Washington Redskins,7,7,VII,NBC,53320000,42.7,72,88100,FALSE,1973-01-14,1700000,2600000
Jan 16 1972,Dallas Cowboys,24,Miami Dolphins,3,6,VI,CBS,56640000,44.2,74,86100,FALSE,1972-01-16,3000000,1700000
Jan 17 1971,Baltimore Colts,16,Dallas Cowboys,13,5,V,NBC,46040000,39.9,75,72500,FALSE,1971-01-17,1100000,3000000
Jan 11 1970,Kansas City Chiefs,23,Minnesota Vikings,7,4,IV,CBS,44270000,39.4,69,78200,FALSE,1970-01-11,990000,1900000
Jan 12 1969,New York Jets,16,Baltimore Colts,7,3,III,NBC,41660000,36,70,55000,FALSE,1969-01-12,7500000,1100000
Jan 14 1968,Green Bay Packers,33,Oakland Raiders,14,2,II,CBS,39120000,36.8,68,54500,FALSE,1968-01-14,920000,830000
Jan 15 1967,Green Bay Packers,35,Kansas City Chiefs,10,1,I,NBC,24430000,18.5,36,37500,FALSE,1967-01-15,920000,990000
Feb 7 2021,Tampa Bay Buccaneers,31,Kansas City Chiefs,9,55,LV,CBS,98200000,38.2,68,5500000,TRUE,2021-02-07,2000000,990000
Feb 13 2022,Los Angeles Rams,23,Cincinnati Bengals,20,56,LVI,NBC,99180000,36.9,72,7020000,FALSE,2022-02-13,5700000,930000
