disasterNumber,state,county,city,zipCode,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,id
4399,FL,"Bay County, Florida",ALTHA,32421,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3bb
4399,FL,"Bay County, Florida",APALACHICOLA,32320,1,0,1,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e3bc
4399,FL,"Bay County, Florida",BRISTOL,32321,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3bf
4399,FL,"Bay County, Florida",CALLAWAY,32404,433,91,148,194,403,151,801671.82,398,137,631252.67,183,79,170419.15,6210b8ca835fa6921ac1e3c1
4399,FL,"Bay County, Florida",CRESTVIEW,32539,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3c5
4399,FL,"Bay County, Florida",EBRO,32437,11,5,2,4,6,3,7053.51,6,2,3193.26,4,2,3860.25,6210b8ca835fa6921ac1e3c8
4399,FL,"Bay County, Florida",FLEMING ISLAND,32003,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3c9
4399,FL,"Bay County, Florida",FOUNTAIN,32438,1367,739,254,374,1278,710,3971642.79,1259,642,3398617.64,688,304,573025.15,6210b8ca835fa6921ac1e3ca
4399,FL,"Bay County, Florida",LYNN HAVEN,23444,1,0,0,1,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e3d2
4399,FL,"Bay County, Florida",LYNNHAVEN,32444,1,0,0,1,1,1,2368.87,1,0,0,1,1,2368.87,6210b8ca835fa6921ac1e3d7
4399,FL,"Bay County, Florida",MELBOURNE,32935,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3d9
4399,FL,"Bay County, Florida",P C BEACH,32408,110,1,48,61,87,16,33741.72,84,10,14840.54,33,7,18901.18,6210b8ca835fa6921ac1e3df
4399,FL,"Bay County, Florida",PALM BAY,32905,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3e1
4399,FL,"Bay County, Florida",PANAMA,32404,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3e4
4399,FL,"Bay County, Florida",PANAMA BEACH,32508,1,0,1,0,1,1,500,1,0,0,1,1,500,6210b8ca835fa6921ac1e3e8
4399,FL,"Bay County, Florida",PANAMA CITY,23401,2,1,1,0,2,0,0,2,0,0,2,0,0,6210b8ca835fa6921ac1e3ea
4399,FL,"Bay County, Florida",PANAMA CITY,32045,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e3ec
4399,FL,"Bay County, Florida",PANAMA CITY,32304,2,0,0,2,2,1,4887.31,1,1,1734,2,1,3153.31,6210b8ca835fa6921ac1e3ee
4399,FL,"Bay County, Florida",PANAMA CITY,32400,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3ef
4399,FL,"Bay County, Florida",PANAMA CITY,32407,49,27,5,17,41,8,12540.4,37,6,10555.72,23,4,1984.68,6210b8ca835fa6921ac1e3f6
4399,FL,"Bay County, Florida",PANAMA CITY,32444,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e3fc
4399,FL,"Bay County, Florida",PANAMA CITY BEACH,32048,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e401
4399,FL,"Bay County, Florida",PANAMA CITY BEACH,32404,1,0,0,1,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e403
4399,FL,"Bay County, Florida",PANAMA CITY BEACH FLORIDA,32143,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e409
4399,FL,"Bay County, Florida",PCB,32407,1,0,0,1,1,1,2022,1,1,2022,1,0,0,6210b8ca835fa6921ac1e40b
4399,FL,"Bay County, Florida",PENSACOLA,32534,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e40e
4399,FL,"Bay County, Florida",PORT ST JOE,32456,171,150,16,5,122,45,322447.8,122,42,296425.65,37,10,26022.15,6210b8ca835fa6921ac1e411
4399,FL,"Bay County, Florida",RICHMOND HILL,31325,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e413
4399,FL,"Bay County, Florida",ROSEMARY BCH,32413,1,1,0,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e414
4399,FL,"Bay County, Florida",SAINT AUGUSTINE,32095,1,0,1,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e416
4399,FL,"Bay County, Florida",SHALIMAR,32579,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e418
4399,FL,"Bay County, Florida",SOUTH PORT,32049,1,1,0,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e419
4399,FL,"Bay County, Florida",SOUTHPORT,32409,477,114,175,188,437,156,878737.52,434,127,768963.2,174,79,109774.32,6210b8ca835fa6921ac1e41c
4399,FL,"Bay County, Florida",TYNDALL,32403,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e422
4399,FL,"Bay County, Florida",YULEE,32041,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e42a
4399,FL,"Calhoun County, Florida",ALFORD,32420,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e42b
4399,FL,"Calhoun County, Florida",CLARKSVILLE,32430,444,255,89,100,418,200,1483252.98,412,188,1329548.4,194,84,153704.58,6210b8ca835fa6921ac1e432
4399,FL,"Calhoun County, Florida",FLORIDA,32424,1,0,0,1,1,1,2270.68,1,1,2006,1,1,264.68,6210b8ca835fa6921ac1e434
4399,FL,"Calhoun County, Florida",GRAND RIDGE,32442,36,31,2,3,34,13,127644.22,34,10,99759.13,13,8,27885.09,6210b8ca835fa6921ac1e436
4399,FL,"Calhoun County, Florida",KINDARD,32449,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e438
4399,FL,"Calhoun County, Florida",MARIANNA,32448,3,2,0,1,3,1,1941.05,3,1,1941.05,2,0,0,6210b8ca835fa6921ac1e439
4399,FL,"Calhoun County, Florida",WEWAHITCHKA,32465,2,0,1,1,1,1,1949.13,1,1,1949.13,1,0,0,6210b8ca835fa6921ac1e43f
4399,FL,"Calhoun County, Florida",YOUNGSTOWN,32466,40,18,10,12,40,15,70747.23,40,15,66491.95,10,3,4255.28,6210b8ca835fa6921ac1e440
4399,FL,"Franklin County, Florida",CARRABELLE,32322,429,244,115,70,318,103,530027.34,287,88,469367.29,127,37,60660.05,6210b8ca835fa6921ac1e444
4399,FL,"Franklin County, Florida",PORT ST JOE,32456,1,1,0,0,1,1,29975.44,1,1,29975.44,0,0,0,6210b8ca835fa6921ac1e44b
4399,FL,"Gadsden County, Florida",GREENSBORO,32330,28,8,14,6,24,10,43496.49,24,9,42594.39,8,3,902.1,6210b8ca835fa6921ac1e453
4399,FL,"Gadsden County, Florida",JACKSONVILLE,32223,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e458
4399,FL,"Gadsden County, Florida",QUINCY,32352,1175,605,310,260,947,230,715238.74,908,164,631283.03,376,113,83955.71,6210b8ca835fa6921ac1e45d
4399,FL,"Gadsden County, Florida",QUINCY,32532,1,0,0,1,1,1,1552,1,1,1552,0,0,0,6210b8ca835fa6921ac1e45e
4399,FL,"Gulf County, Florida",BRISTOL,32321,1,0,0,1,1,0,0,0,0,0,1,0,0,6210b8ca835fa6921ac1e462
4399,FL,"Gulf County, Florida",DEFUNIAK SPRINGS,32433,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e464
4399,FL,"Gulf County, Florida",OVERSTREET,32456,3,0,2,1,2,1,8403.43,1,1,8403.43,2,0,0,6210b8ca835fa6921ac1e467
4399,FL,"Gulf County, Florida",VENICE,34293,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e46f
4399,FL,"Gulf County, Florida",WEWAHITCHKA,32449,1,1,0,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e471
4399,FL,"Holmes County, Florida",BONIFAY,32425,876,420,205,251,656,162,359553.85,566,113,290916.95,292,81,68636.9,6210b8ca835fa6921ac1e475
4399,FL,"Holmes County, Florida",BONIFAY,32428,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e476
4399,FL,"Holmes County, Florida",CARYVILLE,32425,4,3,0,1,4,2,8906.81,4,2,7599.43,3,2,1307.38,6210b8ca835fa6921ac1e478
4399,FL,"Holmes County, Florida",CARYVILLE,32427,2,2,0,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e479
4399,FL,"Holmes County, Florida",COTTONDALE,32431,1,1,0,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e47a
4399,FL,"Holmes County, Florida",HUDSON,34669,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e47e
4399,FL,"Holmes County, Florida",MARIANNA,32446,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e47f
4399,FL,"Jackson County, Florida",ALFORD,32426,1,0,0,1,1,1,4055.02,1,1,4055.02,1,0,0,6210b8ca835fa6921ac1e486
