Vote Year;Council District;Category;Project Number;Title;Description;Address;Votes;Winner;Cost;BP Funding;Borough Code;Latitude;Longitude;Postcode;Community Board;Census Tract;BIN;BBL;NTA
2014;23;Community Facilities;;IT Infrastructure and Technology Upgrade for SNAP Senior Centeräó»s planned new building;;;;0;200,000;;4;;;; ;;;;
2015;26;Streets and Transportation;22; Real Time Passenger Information;Bus time countdown clocks in locations around the 26th District.;City Council District 26 ;180;1;100,000;0;4;;;; ;;;;
2016;10;Parks & Recreation;11;Repair & Fitness Area: Sunken Playground;;;453;0;485,000;0;1;;;; ;;;;
2016;10;Transit;10;Real Time Passenger Information;;;463;0;200,000;0;1;;;; ;;;;
2017;44;Youth;3;STEMLab for Brooklyn School of Inquiry;;;2,113;1;500,000;;3;;;; ;;;;
2015;3;Parks & Recreation;8; New Park for the Community;Transform the vacant lot on West 20th Street into a new public park for the community. Project would go towards demolishing the former Department of Sanitation building and environmental clean up.;136 W. 20th St. (Chelsea);1,342;1;200,000;0;1;40.741508;-73.995327;10011;4;87;1014738;1007950066;Hudson Yards-Chelsea-Flatiron-Union Square                                 
2015;3;Parks & Recreation;9; Revitalization of Chelsea Waterside Park;Chelsea has very limited green park space. The project would bring residents into this underused park by creating an interactive garden for local children, focusing on ethnobotany and native plants.;11th Ave. b/w W.22nd & W.24th (Chelsea);758;1;85,000;0;1;;;; ;;;;
2015;3;Culture and Community Facilities;2; Renovations for Jefferson Library Market;Jefferson Market Library is one of the busiest libraries in Manhattan with up to 1,000 people visiting each year. Funding would go towards renovating the lobby bathroom to make it ADA-compliant.;425 Avenue of the Americas (West Village);648;1;500,000;0;1;40.734323;-73.999065;10011;2;71;1082668;1006060001;West Village                                                               
2015;3;Schools;4; Bathroom Renovations at Lab School;Students avoid current bathroom issues by waiting until after school and utilizing local restaurants. Project would renovate 2 student bathrooms on each floor and bathrooms adjacent to the cafeteria.;333 W. 17th St. (Chelsea);594;1;560,000;0;1;40.742129;-74.002198;10011;4;83;1079152;1007410010;Hudson Yards-Chelsea-Flatiron-Union Square                                 
2015;3;Streets and Transportation;17; Sidewalk Repair/Replacement;The sidewalk on West 26th Street between 9th and 10th Avenues is in desperate need of repair. It has become difficult to walk, push carriages and wheelchairs on the sidewalk.;Chelsea-Elliot Houses (Chelsea);578;1;50,000;0;1;;;; ;;;;
2015;3;Schools;6; PS3 Library Renovations;The library has not been renovated in over a decade. With the technological advances of the last decade, modernizing the library is important in meeting the educational needs of today's students.;490 Hudson St. (West Village);533;1;35,000;0;1;40.732593;-74.006466;10014;2;73;1009872;1005850041;West Village                                                               
2015;3;Streets and Transportation;15; Pedestrian Safety: Raised Crosswalks;Help prevent further crashes, death and injuries for pedestrians by installing a speed table at a notoriously dangerous crosswalk at West 45th Street and 9th Avenue.;West 45th St. and 9th Ave. (Hell's Kitchen);532;1;250,000;0;1;;;; ;;;;
2015;3;Culture and Community Facilities;1; Cooling System for Muhlenberg Library;Funding will replace the building's HVAC cooling unit to ensure that the branch can continue to serve as a cool space in the summer months, which includes serving as an official NYC Cooling Center.;209 W. 23rd St. (Chelsea);571;0;500,000;0;1;40.744355;-73.996229;10011;4;91;1014150;1007730038;Hudson Yards-Chelsea-Flatiron-Union Square                                 
2015;3;Schools;5; Bathroom Renovations for PS3;Renovation of existing bathroom facilities to promote a more sanitary environment for all students, faculty and school visitors.;490 Hudson St. (West Village);515;0;100,000;0;1;40.732593;-74.006466;10014;2;73;1009872;1005850041;West Village                                                               
2015;3;Parks & Recreation;11; Hell's Kitchen Community Composting Center;A year-round solar-powered, forced air composting system for residents of Hell's Kitchen. The center would have the capacity for at least two compost drop-off days a week.; (Hell's Kitchen);483;0;35,000;0;1;;;; ;;;;
2015;3;Streets and Transportation;16; Bus Time Clocks for the M11 & M12 Bus Routes;Installation of bus time clocks that will provide waiting passengers with time information and bus arrival times.; (Along the M11 and M12 Routes);412;0;200,000;0;1;;;; ;;;;
2015;3;Schools;3; Campus Renovations for Lab School;Hudson Guild, Lab High School, Lab Middle School, and Museum School will benefit from new gym bleachers, gym scoreboard, and locker room bathroom renovations.;333 W. 17th St. (Chelsea);363;0;290,000;0;1;40.742129;-74.002198;10011;4;83;1079152;1007410010;Hudson Yards-Chelsea-Flatiron-Union Square                                 
2015;3;Parks & Recreation;10; Downing Playground and Fountain Upgrades;Playground upgrades with new play equipment for children, as well as a safer, more child-friendly drinking fountain to replace the aging concrete structure that is currently falling apart.;1 Downing St. (West Village);337;0;200,000;0;1;40.729684;-74.002601;10014;2;67;1000000;1005270080;West Village                                                               
