UniqueID,NearSchoolDist,NearSchoolMins,DistMeters,TimeMins
300009000,Buford Middle School,Buford Middle School,772,10.3
300010000,Buford Middle School,Buford Middle School,799,10.7
300008000,Buford Middle School,Buford Middle School,720,9.6
290070300,Buford Middle School,Buford Middle School,1234,16.4
300054000,Buford Middle School,Buford Middle School,726,9.7
290071000,Buford Middle School,Buford Middle School,1046,13.9
300066000,Buford Middle School,Buford Middle School,612,8.2
300053000,Buford Middle School,Buford Middle School,763,10.2
300048100,Buford Middle School,Buford Middle School,764,10.2
300067000,Buford Middle School,Buford Middle School,597,8
300048000,Buford Middle School,Buford Middle School,772,10.3
300045100,Buford Middle School,Buford Middle School,780,10.4
300068000,Buford Middle School,Buford Middle School,583,7.8
300045000,Buford Middle School,Buford Middle School,821,11
300044000,Buford Middle School,Buford Middle School,820,10.9
300058000,Buford Middle School,Buford Middle School,639,8.5
300063000,Buford Middle School,Buford Middle School,656,8.8
290073000,Buford Middle School,Buford Middle School,1035,13.8
300057000,Buford Middle School,Buford Middle School,655,8.7
300065000,Buford Middle School,Buford Middle School,604,8.1
290074000,Buford Middle School,Buford Middle School,1018,13.6
300056000,Buford Middle School,Buford Middle School,666,8.9
300069000,Buford Middle School,Buford Middle School,568,7.6
290070000,Buford Middle School,Buford Middle School,1234,16.4
300052000,Buford Middle School,Buford Middle School,676,9
300051000,Buford Middle School,Buford Middle School,690,9.2
300050000,Buford Middle School,Buford Middle School,704,9.4
300170000,Buford Middle School,Buford Middle School,467,6.2
300064000,Buford Middle School,Buford Middle School,624,8.3
300047000,Buford Middle School,Buford Middle School,751,10
290069000,Buford Middle School,Buford Middle School,1199,16
290075000,Buford Middle School,Buford Middle School,1000,13.3
300046000,Buford Middle School,Buford Middle School,752,10
300032000,Buford Middle School,Buford Middle School,888,11.8
300043000,Buford Middle School,Buford Middle School,743,9.9
290070100,Buford Middle School,Buford Middle School,1238,16.5
290076000,Buford Middle School,Buford Middle School,1027,13.7
300042000,Buford Middle School,Buford Middle School,754,10
300041000,Buford Middle School,Buford Middle School,773,10.3
290068000,Buford Middle School,Buford Middle School,1227,16.4
300091000,Buford Middle School,Buford Middle School,607,8.1
300092000,Buford Middle School,Buford Middle School,622,8.3
290050000,Buford Middle School,Buford Middle School,1254,16.7
300093000,Buford Middle School,Buford Middle School,632,8.4
300040000,Buford Middle School,Buford Middle School,800,10.7
290081000,Buford Middle School,Buford Middle School,998,13.3
300094000,Buford Middle School,Buford Middle School,644,8.6
300025000,Buford Middle School,Buford Middle School,952,12.7
230002000,Buford Middle School,Buford Middle School,561,7.5
300039000,Buford Middle School,Buford Middle School,812,10.8
300095000,Buford Middle School,Buford Middle School,657,8.8
300031000,Buford Middle School,Buford Middle School,888,11.8
290049000,Buford Middle School,Buford Middle School,1297,17.3
230003000,Buford Middle School,Buford Middle School,568,7.6
300038000,Buford Middle School,Buford Middle School,823,11
300096000,Buford Middle School,Buford Middle School,669,8.9
290080000,Buford Middle School,Buford Middle School,1028,13.7
300026000,Buford Middle School,Buford Middle School,943,12.6
290082000,Buford Middle School,Buford Middle School,961,12.8
300037000,Buford Middle School,Buford Middle School,833,11.1
290067000,Buford Middle School,Buford Middle School,1177,15.7
300097000,Buford Middle School,Buford Middle School,682,9.1
230004000,Buford Middle School,Buford Middle School,588,7.8
290051000,Buford Middle School,Buford Middle School,1212,16.2
300088000,Buford Middle School,Buford Middle School,516,6.9
290079000,Buford Middle School,Buford Middle School,1045,13.9
300120000,Buford Middle School,Buford Middle School,522,7
300098000,Buford Middle School,Buford Middle School,695,9.3
300036000,Buford Middle School,Buford Middle School,813,10.8
290022000,Clark Elementary School,Clark Elementary School,1473,19.6
300079000,Buford Middle School,Buford Middle School,492,6.6
300027000,Buford Middle School,Buford Middle School,932,12.4
230005000,Buford Middle School,Buford Middle School,608,8.1
290078000,Buford Middle School,Buford Middle School,1160,15.5
300080000,Buford Middle School,Buford Middle School,481,6.4
230006000,Buford Middle School,Buford Middle School,597,8
290083000,Buford Middle School,Buford Middle School,948,12.6
300081000,Buford Middle School,Buford Middle School,458,6.1
300099000,Buford Middle School,Buford Middle School,707,9.4
300030000,Buford Middle School,Buford Middle School,875,11.7
300035000,Buford Middle School,Buford Middle School,819,10.9
230007000,Buford Middle School,Buford Middle School,580,7.7
300028000,Buford Middle School,Buford Middle School,922,12.3
300100000,Buford Middle School,Buford Middle School,739,9.9
290048000,Buford Middle School,Buford Middle School,1307,17.4
