countBurglaries,Abandoned_Buildings,Abandoned_Cars,Graffiti,Liquor_Retail,Sanitation,Street_Lights_Out,Abandoned_Buildings_lag,Abandoned_Cars_lag,Graffiti_lag,Liquor_Retail_lag,Sanitation_lag,Street_Lights_Out_lag,loopDistance,burglary.isSig,uniqueID
0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.5,26046.394568336316,0,100
4,2,6,3,0,11,7,2.75,10.5,2.5,0,7.75,3.25,17703.104516009207,0,1000
4,6,18,8,0,9,4,0.75,8.25,6,0.25,6,5.25,17858.743342027257,0,1001
3,1,11,12,1,9,10,4,11.5,27.5,0.5,6.5,9.75,18026.91093915039,0,1002
1,2,6,23,0,6,10,0.75,5,11.5,0.25,5,10.5,18207.260152469873,0,1003
0,0,0,0,0,0,0,0,1.75,1,0,0.5,3,18603.062402815074,0,1005
0,0,0,0,0,0,0,0.75,1.75,6.5,0,3.75,6.25,26161.985288985943,0,101
4,3,16,2,0,1,12,1.75,8.75,6.5,0,6,5.75,26420.050771420392,0,103
1,1,0,0,0,2,15,1,5.5,1.5,0,5.75,8.5,16811.530364464863,0,1035
2,3,9,5,0,16,13,2.5,9.5,1.75,0.25,15,12.25,16708.152424699187,0,1036
2,3,9,3,0,20,11,4.5,8.25,3.5,0.25,17.5,16.75,16619.180536315216,1,1037
5,4,12,0,0,11,8,5.25,15.5,1.5,0.25,19,6,16544.847111723207,0,1038
9,3,8,0,0,13,3,5.75,12.5,1.75,0.25,13.25,6.25,16485.350169224585,0,1039
0,2,6,0,0,4,0,0.75,5.5,0.5,0,0.75,8.5,26562.2643427869,0,104
2,2,17,0,0,5,8,5.25,14.75,0.75,0.25,13.75,5,16440.85078253587,0,1040
0,0,9,0,0,1,1,3.75,7.25,0,0.25,7.75,2,16397.291939735802,0,1042
0,3,5,0,0,6,3,2.5,17.75,0,0,9.75,4.75,16398.353185871496,0,1043
5,3,19,0,0,9,11,4.5,21.25,0,0,15.75,9.75,16446.142274463524,0,1045
5,4,14,0,0,27,10,5.5,14,0.25,0.5,5.75,4.75,16492.73779466446,1,1046
